tickets_sold,event_capacity,avg_ticket_price,day_of_week,is_weekend,actual_attendance
68,100,15.64,5,1,64
601,800,15.31,3,0,495
606,800,40.66,3,0,532
407,500,40.91,5,1,373
173,200,35.55,3,0,139
93,100,37.53,3,0,75
445,500,40.01,3,0,388
829,1000,27.08,4,1,773
627,1000,54.87,5,1,547
220,300,53.48,2,0,193
728,800,52.38,2,0,635
706,800,36.77,6,1,638
203,300,20.59,4,1,190
943,1000,43.35,2,0,815
706,1000,44.81,5,1,613
92,100,15.07,2,0,78
924,1000,34.11,6,1,818
176,200,54.92,1,0,151
519,800,16.07,1,0,421
238,300,11.24,3,0,205
76,100,23.98,3,0,61
351,500,48.72,1,0,299
401,500,52.8,1,0,346
125,200,54.67,6,1,108
73,100,46.86,5,1,66
193,200,10.6,0,0,168
268,300,34.25,1,0,218
845,1000,21.83,0,0,750
273,300,47.51,3,0,228
210,300,51.4,1,0,182
166,200,15.96,1,0,133
710,800,37.38,0,0,563
560,800,15.03,4,1,514
147,200,42.69,5,1,132
763,800,21.57,6,1,738
469,500,44.26,5,1,442
204,300,23.26,0,0,172
79,100,55.64,4,1,70
163,200,22.49,4,1,150
161,200,14.98,2,0,129
492,500,28.85,5,1,468
325,500,39.09,3,0,273
76,100,53.99,4,1,71
65,100,25.48,1,0,53
435,500,25.05,3,0,367
263,300,57.21,6,1,254
624,800,22.63,0,0,524
795,800,51.93,6,1,722
581,800,10.44,1,0,495
401,500,30.15,3,0,341
848,1000,16.04,1,0,725
639,1000,31.43,4,1,595
68,100,41.37,4,1,63
607,800,22.11,1,0,530
490,500,55.93,3,0,415
425,500,42.02,4,1,394
179,200,37.13,0,0,158
397,500,16.67,1,0,328
345,500,12.92,4,1,308
129,200,57.7,2,0,104
953,1000,17.59,0,0,841
440,500,30.54,6,1,396
194,200,16.55,5,1,177
241,300,52.84,0,0,202
371,500,36.81,4,1,339
754,1000,58.34,5,1,718
63,100,53.15,6,1,56
613,800,53.89,6,1,560
186,200,37.88,6,1,168
573,800,33.47,4,1,543
216,300,19.63,5,1,210
236,300,21.37,3,0,201
586,800,57.0,4,1,538
67,100,54.56,1,0,56
176,200,59.19,2,0,143
71,100,19.22,4,1,65
60,100,48.72,0,0,50
782,1000,24.51,1,0,634
64,100,40.48,5,1,61
140,200,35.48,0,0,108
91,100,34.37,3,0,69
956,1000,23.14,4,1,895
145,200,57.61,2,0,123
77,100,46.5,4,1,69
625,1000,13.72,3,0,526
733,1000,38.54,6,1,662
60,100,50.53,2,0,52
196,200,36.88,0,0,177
210,300,32.5,3,0,173
143,200,36.91,0,0,124
319,500,12.79,0,0,271
552,800,37.19,5,1,527
644,800,59.51,3,0,550
221,300,50.5,0,0,173
551,800,35.23,6,1,502
402,500,52.24,2,0,337
472,500,16.97,4,1,429
863,1000,29.44,3,0,692
704,1000,39.06,0,0,614
364,500,54.45,1,0,306
200,300,23.34,3,0,167
74,100,25.78,3,0,62
145,200,19.61,5,1,133
155,200,38.83,1,0,139
69,100,44.06,6,1,62
125,200,39.81,1,0,110
205,300,52.08,5,1,186
292,300,43.86,2,0,259
188,300,34.18,0,0,164
317,500,45.77,3,0,290
904,1000,46.12,0,0,752
990,1000,57.73,2,0,804
348,500,13.4,5,1,306
91,100,52.92,5,1,81
595,800,44.36,0,0,508
91,100,21.29,3,0,76
283,300,32.21,2,0,235
198,200,55.49,6,1,187
552,800,43.12,3,0,429
90,100,38.41,4,1,87
236,300,26.69,2,0,194
170,200,35.94,6,1,159
233,300,24.82,5,1,214
62,100,32.31,3,0,50
78,100,18.18,6,1,72
191,200,41.42,6,1,173
307,500,34.98,0,0,255
491,800,41.95,4,1,481
619,800,24.63,1,0,517
459,500,18.17,5,1,399
658,1000,53.86,5,1,581
687,800,53.4,4,1,649
425,500,13.76,1,0,344
191,200,16.68,4,1,178
422,500,51.75,1,0,393
754,800,18.53,6,1,699
392,500,49.45,4,1,373
610,800,27.39,1,0,535
191,300,44.05,2,0,157
496,500,55.59,5,1,461
307,500,28.11,1,0,262
124,200,31.34,3,0,102
971,1000,42.05,3,0,845
965,1000,59.05,4,1,883
926,1000,47.48,1,0,759
520,800,42.78,0,0,456
524,800,45.79,4,1,454
758,800,46.84,1,0,593
165,200,16.86,0,0,138
694,800,26.7,2,0,600
