payment_method,unit_price,quantity,total_amount,hour_of_purchase,day_of_week,has_notes,ticket_tier,time_since_purchase_hours,label
3,20.0,2,40.0,10,6,0,0,566.7,0
3,60.0,3,180.0,21,1,0,2,63.3,0
3,25.0,2,50.0,11,3,0,0,40.1,0
3,30.0,6,180.0,18,1,0,1,290.2,0
3,20.0,1,20.0,13,5,0,0,586.6,0
3,25.0,1,25.0,2,2,0,1,656.9,0
2,60.0,5,300.0,17,3,0,2,563.5,0
3,22.0,3,66.0,7,2,0,1,611.8,0
2,25.0,1,25.0,14,0,0,0,139.0,0
1,20.0,1,20.0,18,6,0,0,6.3,1
2,30.0,1,30.0,22,4,0,1,240.4,0
3,22.0,2,44.0,2,5,0,1,553.5,0
3,15.0,2,30.0,18,1,0,0,45.9,0
3,25.0,2,50.0,3,5,0,1,680.2,0
3,35.0,4,140.0,11,3,0,1,153.9,0
0,20.0,1,20.0,18,4,0,0,0.5,1
2,25.0,1,25.0,11,3,0,0,193.9,0
1,12.0,1,12.0,15,6,0,0,4.2,1
2,25.0,2,50.0,0,2,0,1,465.5,0
3,30.0,1,30.0,16,5,0,1,530.8,0
0,15.0,2,30.0,17,4,1,0,5.7,1
3,30.0,1,30.0,19,3,0,1,678.6,0
3,60.0,2,120.0,9,2,0,2,203.5,0
1,25.0,1,25.0,17,6,1,0,7.1,1
1,55.0,1,55.0,18,3,1,2,1.1,1
1,25.0,1,25.0,16,5,1,0,2.8,1
2,35.0,3,105.0,19,0,0,1,279.1,0
2,30.0,6,180.0,13,5,0,1,434.6,0
3,12.0,3,36.0,0,0,0,0,159.9,0
0,50.0,2,100.0,15,6,1,2,7.1,1
1,12.0,2,24.0,16,3,0,0,3.4,1
1,15.0,1,15.0,7,6,1,0,2.1,1
1,47.0,1,47.0,18,5,1,2,3.2,1
2,35.0,2,70.0,3,6,0,1,579.6,0
3,15.0,1,15.0,22,4,1,0,491.7,0
2,25.0,2,50.0,5,2,0,0,235.1,0
2,35.0,2,70.0,12,6,0,1,159.3,0
2,25.0,2,50.0,16,6,0,1,301.6,0
1,25.0,1,25.0,16,1,1,0,1.8,1
0,50.0,1,50.0,17,3,0,2,5.4,1
0,60.0,1,60.0,11,0,1,2,0.8,1
1,25.0,1,25.0,16,0,1,0,4.0,1
3,25.0,2,50.0,0,0,1,1,399.4,0
3,20.0,2,40.0,23,6,0,0,495.3,0
3,12.0,1,12.0,9,0,0,0,167.9,0
2,20.0,2,40.0,7,1,0,0,292.2,0
3,12.0,3,36.0,23,4,0,0,535.6,0
3,12.0,3,36.0,3,2,1,0,282.9,0
3,25.0,4,100.0,2,2,0,1,95.8,0
2,60.0,1,60.0,8,4,0,2,613.6,0
3,25.0,2,50.0,2,5,1,0,443.3,0
3,30.0,1,30.0,6,1,0,1,717.2,0
3,12.0,3,36.0,11,5,0,0,627.3,0
0,20.0,1,20.0,8,6,1,0,7.9,1
3,20.0,2,40.0,18,4,0,0,564.9,0
3,22.0,1,22.0,19,2,0,1,106.7,0
3,47.0,2,94.0,23,0,1,2,391.7,0
0,47.0,1,47.0,23,2,1,2,1.1,1
3,25.0,4,100.0,21,0,0,0,430.7,0
2,25.0,1,25.0,20,2,0,1,217.1,0
2,25.0,1,25.0,21,1,0,0,46.5,0
1,15.0,1,15.0,20,4,1,0,5.9,1
3,20.0,6,120.0,21,3,0,0,588.1,0
0,25.0,1,25.0,6,5,0,0,0.8,1
